sprite,x,y
brick,200,40
brick,240,40
brick,240,80
brick,600,160
brick,640,160
brick,680,160

brick,1300,40
brick,1500,40
brick,1600,80
brick,1640,120
brick,1680,160
brick,1680,200
brick,1640,240
brick,1600,280
brick,1900,40

brick,3700,160
brick,3740,200
brick,3780,240
brick,3820,160
brick,3860,200
brick,3900,240
brick,3940,160
brick,3980,200
brick,4020,240
brick,4060,160
brick,4100,200
brick,4140,240

brick,5540,40
brick,5540,80
brick,5580,40
brick,5580,80
brick,5620,40
brick,5620,80
brick,5620,120
brick,5620,160
brick,5660,40
brick,5660,80
brick,5660,120
brick,5660,160

brick,7300,40
brick,7340,40
brick,7340,80
brick,7380,40
brick,7380,80
brick,7380,120
brick,7420,40
brick,7420,80
brick,7420,120
brick,7420,160
brick,7460,40
brick,7460,80
brick,7460,120
brick,7460,160
brick,7460,200
brick,7500,40
brick,7500,80
brick,7500,120
brick,7500,160
brick,7500,200
brick,7500,240

brick,7960,40
brick,7960,80
brick,7960,120
brick,7960,160
brick,7960,200
brick,7960,240
brick,7960,280
brick,7960,320
brick,7960,360
brick,7960,400
brick,7960,440
brick,7960,480
brick,7960,520
brick,7960,560
